Theta	Offset	RA-SDSS	DEC-SDSS	PosErr-SDSS	RA-Galaxies	DEC-Galaxies	PosErr-Galaxies
 0.0	0.00	  199.149080	   12.152398	  6.00	  199.149080	   12.152400	  6.00
 0.0	0.00	  128.212590	   14.291823	  6.00	  128.212590	   14.291823	  6.00
 0.0	0.00	  160.271220	    6.414888	  6.00	  160.271210	    6.414890	  6.00
 0.1	0.02	  167.284140	    4.060022	  6.00	  167.284170	    4.060000	  6.00
 0.0	0.00	  165.640580	    7.135263	  6.00	  165.640580	    7.135260	  6.00
 0.0	0.00	  148.481170	    7.046565	  6.00	  148.481170	    7.046560	  6.00
 0.0	0.00	  212.194850	    4.909785	  6.00	  212.194850	    4.909785	  6.00
 0.1	0.01	  176.017250	    5.234108	  6.00	  176.017270	    5.234110	  6.00
 1.0	0.11	  129.171390	    5.273585	  6.00	  129.171460	    5.273330	  6.00
 0.0	0.00	  132.011960	   13.086204	  6.00	  132.011960	   13.086204	  6.00
 0.0	0.00	  198.243140	   12.477980	  6.00	  198.243140	   12.477980	  6.00
 0.0	0.00	  138.872270	   11.773761	  6.00	  138.872270	   11.773761	  6.00
 0.0	0.00	  233.689350	    8.156912	  6.00	  233.689350	    8.156910	  6.00
 0.0	0.00	  239.309920	   13.508837	  6.00	  239.309920	   13.508837	  6.00
 0.1	0.01	  220.466550	    5.922454	  6.00	  220.466540	    5.922440	  6.00
 0.1	0.01	  209.680900	   14.261339	  6.00	  209.680870	   14.261330	  6.00
 0.0	0.00	  133.473920	   13.569548	  6.00	  133.473920	   13.569548	  6.00
 0.0	0.00	  205.507510	   14.709371	  6.00	  205.507510	   14.709370	  6.00
 0.1	0.01	  174.413430	    8.864126	  6.00	  174.413450	    8.864120	  6.00
 0.0	0.00	  217.045230	   13.551591	  6.00	  217.045230	   13.551591	  6.00
 0.0	0.00	  145.128350	    7.489426	  6.00	  145.128360	    7.489430	  6.00
 0.0	0.00	  236.414260	    9.748503	  6.00	  236.414260	    9.748503	  6.00
 0.0	0.00	  210.850710	   11.154083	  6.00	  210.850710	   11.154080	  6.00
